Name 1,URN,Salesforce ID,Customer Type,Customer Watch Status,Customer Watch Status Date,Credit Risk Rating,Credit Risk Rating Date,Assigned Risk Rating Date,Primary Industry Group,Primary Industry,Industry Group,Industry,Industry Weighting,Citizenship Class,Assigned Rating/ECGD Status,Loss Given Default,Probability of Default
GLOBAL ATTRACTIONS LTD,00319442,0010X00005365PfQAI,COMPANY,Good,NULL,N/A,2020-11-25,2020-11-25,CIVIL: LEISURE & TOURISM,LEISURE & TOURISM,CIVIL: LEISURE & TOURISM,LEISURE & TOURISM,0,YES,CORPORATE,0,0
HOLDTRADE MINING LIMITED,00306377,0010X0000536FmjQAE,COMPANY,Good,NULL,NOT KNOWN,2005-04-26,NULL,CIVIL: MINING & METALS,MINING & METALS : MISCELLANEOUS,CIVIL: MINING & METALS,MINING & METALS : MISCELLANEOUS,0,YES,CORPORATE,0,0
HR WALLINGFORD LIMITED,00313703,001b000000jvWZKAA2,COMPANY,Good,NULL,N/A,2019-08-20,2019-08-20,CIVIL: WATER,CIVIL: WATER MISCELLANEOUS,CIVIL: WATER,CIVIL: WATER MISCELLANEOUS,0,YES,CORPORATE,0,0
HSBC,00323351,0014K00000TKZIXQA5,BANK,Good,NULL,BB,2022-11-07,2022-11-07,FINANCIAL,BANK,FINANCIAL,BANK,0,NO,CORPORATE,0,0
INDUSTRIAL TURBINE COMPANY (UK) LTD,00305412,001b000002JUWUXAA5,COMPANY,Good,NULL,N/A,2015-09-16,2015-09-16,CIVIL: ENERGY (GAS),EQUIPMENT INC SPARES,CIVIL: ENERGY (GAS),EQUIPMENT INC SPARES,0,YES,CORPORATE,0,0
INLAKS (UK) LIMITED,00300114,0010X000054TZ8qQAG,COMPANY,Good,NULL,NOT KNOWN,2005-04-26,NULL,DEFENCE: CATEGORY A (SHARP ARMS),DEFENCE: CATEGORY A MISCELLANEOUS,DEFENCE: CATEGORY A (SHARP ARMS),DEFENCE: CATEGORY A MISCELLANEOUS,0,YES,CORPORATE,0,0
INTERSERVE RAIL LIMITED,00302231,0010X000054TZ6CQAW,COMPANY,Good,NULL,NOT KNOWN,2005-04-26,NULL,CIVIL: POWER,CIVIL: POWER MISCELLANEOUS,CIVIL: POWER,CIVIL: POWER MISCELLANEOUS,0,YES,CORPORATE,0,0
INTESA SANPAOLO S.P.A DUBAI BRANCH,00325421,0014K00000cVSC2QAO,COMPANY,Good,NULL,N/A,2022-08-18,2022-08-18,CIVIL: PETROCHEMICALS,CIVIL: PETROCHEMICALSMISCELLANEOUS,CIVIL: PETROCHEMICALS,CIVIL: PETROCHEMICALSMISCELLANEOUS,0,NO,CORPORATE,0,0
ISHIDA EUROPE LIMITED,00308927,001b000000akfnfAAA,COMPANY,Good,NULL,BB+,2017-11-16,2017-08-25,"CIVIL: AGRICULTURE, HORTICULTURE & FISHERIES","AGRICULTURE, HORTICULTURE & FISHERIES","CIVIL: AGRICULTURE, HORTICULTURE & FISHERIES","AGRICULTURE, HORTICULTURE & FISHERIES",0,YES,CORPORATE,0,0
JGC CORPORATION UK LIMITED,00306557,0014K00000a7IAmQAM,COMPANY,Good,NULL,N/A,2013-01-21,2013-01-21,CIVIL: PETROCHEMICALS,CIVIL: PETROCHEMICALSMISCELLANEOUS,CIVIL: PETROCHEMICALS,CIVIL: PETROCHEMICALSMISCELLANEOUS,0,N/A,CORPORATE,0,0
JMC RECYCLING SYSTEMS LIMITED,00310719,001b000000ahrAJAAY,COMPANY,Good,NULL,N/A,2014-02-17,2014-02-17,CIVIL: PROCESS PLANT & EQUIPMENT,CIVIL: PROCESS PLANT & EQUIPMENT: MISCELLANEOUS,CIVIL: PROCESS PLANT & EQUIPMENT,CIVIL: PROCESS PLANT & EQUIPMENT: MISCELLANEOUS,0,YES,CORPORATE,0,0
JOY GLOBAL INDUSTRIES LIMITED,00304549,0010X00004aVPjoQAG,COMPANY,Good,NULL,NOT KNOWN,2005-04-26,NULL,CIVIL: MISCELLANEOUS,CIVIL: MISCELLANEOUS,CIVIL: MISCELLANEOUS,CIVIL: MISCELLANEOUS,0,YES,CORPORATE,0,0
JP MORGAN,00325377,001b000000UkPxwAAF,BANK,Good,NULL,BB,2024-08-08,NULL,FINANCIAL,BANK,FINANCIAL,BANK,0,N/A,CORPORATE,0,0
JP MORGAN CHASE BANK N.A.,00327396,0014K00000npltkQAA,BANK,Good,NULL,N/A,2023-08-18,2023-08-18,FINANCIAL,BANK,FINANCIAL,BANK,0,NO,CORPORATE,0,0
JP MORGAN CHASE BANK N.A. TOKYO BRANCH,00327402,0014K00000nplsrQAA,BANK,Good,NULL,N/A,2023-08-18,2023-08-18,FINANCIAL,BANK,FINANCIAL,BANK,0,NO,CORPORATE,0,0
