Name 1,URN,Salesforce ID,Customer Type,Customer Watch Status,Credit Risk Rating,Primary Industry Classification,Assigned Rating/ECGD Status,Loss Given Default
JGC CORPORATION UK LIMITED,00306557,0014K00000a7IAmQAM,COMPANY,Good,N/A,CIVIL: PETROCHEMICALSMISCELLANEOUS,CORPORATE,0
JMC RECYCLING SYSTEMS LIMITED,00310719,001b000000ahrAJAAY,COMPANY,Good,N/A,CIVIL: PROCESS PLANT & EQUIPMENT: MISCELLANEOUS,CORPORATE,0
JOY GLOBAL INDUSTRIES LIMITED,00304549,0010X00004aVPjoQAG,COMPANY,Good,NOT KNOWN,CIVIL: MISCELLANEOUS,CORPORATE,0
JP MORGAN CHASE BANK N.A.,00327396,0014K00000npltkQAA,BANK,Good,N/A,BANK,CORPORATE,0
JP MORGAN CHASE BANK N.A. TOKYO BRANCH,00327402,0014K00000nplsrQAA,BANK,Good,N/A,BANK,CORPORATE,0
JUST RETIREMENT LIMITED,00320961,0016700005Bs3jPAAR,COMPANY,Good,N/A,CIVIL: TRANSPORT MISCELLANOUS,CORPORATE,0
KEB HANA BANK,00329089,001Tm000007teAVIAY,BANK,Good,N/A,BANK,CORPORATE,0
KOMMUNALKREDIT AUSTRIA AG,00324835,0014K00000aQ4FOQA0,BANK,Good,N/A,BANK,CORPORATE,0
KOREA AEROSPACE INDUSTRIES LTD,00319140,0010X00004y8gayQAA,COMPANY,Good,N/A,AIRCRAFTS AND PARTS,CORPORATE,0
KUWAIT PETROLEUM CORPORATION AND SUBSIDIARIES (KPC),00307709,001b000002Xcb9CAAR,COMPANY,Good,A+,CIVIL: PETROCHEMICALSMISCELLANEOUS,CORPORATE,35
LBBW,00315441,0010X00004EqzOfQAJ,BANK,Good,N/A,PROCESS PLANT EQUIPMENT,CORPORATE,0
LEARJET INC,00319544,0010X0000538q3EQAQ,COMPANY,Good,B+,AIRBUS,CORPORATE,0
LLC CENTRAL PLAINS GROUP,00322053,0014K00000NF3ypQAD,COMPANY,Watch,CCC,"AGRICULTURE, HORTICULTURE & FISHERIES",CORPORATE,0
LLC STRONG ENERGY ZAKHID,00323362,0014K00000TLFzkQAH,COMPANY,Watch,CC,"AGRICULTURE, HORTICULTURE & FISHERIES",CORPORATE,61
LLOYDS SYNDICATE 0318 CINCINNATI GLOBAL UNDERWRITING AGENCY LTD,00327049,0014K00000eK7xHQAS,COMPANY,Good,AA-,FINANCIAL : MISCELLANEOUS,CORPORATE,35
LLOYDS SYNDICATE 2001 MS AMLIN,00315334,0010X00004DhtK3QAJ,COMPANY,Good,AA-,FINANCIAL : MISCELLANEOUS,CORPORATE,50
LLOYDS SYNDICATE 3010 LANCASHIRE SYNDICATES LTD,00327041,0014K00000eK8g3QAC,COMPANY,Good,AA-,FINANCIAL : MISCELLANEOUS,CORPORATE,35
MARITIME DEVELOPMENT LTD,00317363,0010X00004SuHKCQA3,COMPANY,Good,N/A,ENERGY (OIL) : MISCELLANEOUS,CORPORATE,0
MARLBOROUGH COMMUNICATIONS LIMITED,00306580,001b000000jvWe7AAE,COMPANY,Good,NOT KNOWN,DEFENCE: CATEGORY B MISCELLANEOUS,CORPORATE,0
MODERN KARTON,00327505,0014K00000fGaC1QAK,COMPANY,Good,B,CIVIL: MISCELLANEOUS,CORPORATE,0
NATIONAL AUTHORITY FOR TUNNELS,00318621,0010X00004sWjn0QAC,COMPANY,Good,N/A,RAIL - ROLLING STOCK,CORPORATE,0
NATIONAL BANK OF KUWAIT (INTERNATIONAL) PLC,00309684,001b000000LJKFzAAP,BANK,Good,A,BANK,CORPORATE,0
NAVAL GROUP,00323830,0014K00000VEJELQA5,COMPANY,Good,AA,"SHIPS' FITTINGS, COMPONENTS AND EQUIPMENT",SOVEREIGN,0
NEDBANK LIMITED,00308701,001b000003zGRyaAAG,BANK,Good,NOT KNOWN,BANK,CORPORATE,0
NEXUS GREEN LIMITED,00306046,001b000003esdNyAAI,COMPANY,Good,B,SOLAR POWER,CORPORATE,0
NISSAN MOTOR COMPANY LIMITED,00319902,00167000055qvlKAAQ,COMPANY,Good,BB+,CIVIL: TRANSPORT MISCELLANOUS,CORPORATE,40
NISSAN MOTOR MANUFACTURING (UK) LIMITED,00308810,001b000000jvWgdAAE,COMPANY,Good,BBB-,CIVIL: TRANSPORT MISCELLANOUS,CORPORATE,50
NORDIC TRUSTEE AS,00326693,0014K00000k6Nj9QAE,BANK,Good,D,BANK,CORPORATE,0
OCYAN OIL SERVICES LTD,00326183,0014K00000fGv48QAC,COMPANY,Good,N/A,ENERGY (OIL) : MISCELLANEOUS,CORPORATE,0
OMEGA FOUNDRY MACHINERY LTD,00311023,001b000000Hy76DAAR,COMPANY,Good,B+,CIVIL: MISCELLANEOUS,CORPORATE,0
ONUR TAAHHUT TASIMACILIK INSAAT TICARET VE SANAYI ANONIM SIRKETI,00325757,0014K00000dVplEQAS,COMPANY,Good,N/A,BRIDGES,CORPORATE,0
PETROFAC SERVICES LIMITED,00313236,001b000000jvWifAAE,COMPANY,Good,N/A,CIVIL: PETROCHEMICALSMISCELLANEOUS,CORPORATE,0
POWERX EQUIPMENT LIMITED,00322145,0014K00000NHo0qQAD,COMPANY,Good,N/A,COMMERICAL,CORPORATE,0
PRESTIGE DIAGNOSTICS UK,00321814,0014K00000MOtPWQA1,COMPANY,Good,N/A,CIVIL: MEDICAL/SCIENTIFIC EQUIPMENT MISCELLANEOUS,CORPORATE,0
PT DAGANG SAMUDERA HUTAMA,00320819,0016700005BosVOAAZ,COMPANY,Good,BB,CIVIL: MISCELLANEOUS,CORPORATE,0
QUALTER HALL & COMPANY LIMITED,00301463,001b000003XoFL0AAN,COMPANY,Good,NOT KNOWN,CIVIL: CONSTRUCTION MISCELLANEOUS,CORPORATE,0
REASSURE LTD,00321242,0016700005DWvOTAA1,COMPANY,Good,N/A,CIVIL: TRANSPORT MISCELLANOUS,CORPORATE,0
ROUGHTON INTERNATIONAL LIMITED,00310205,001b000000Hy7plAAB,COUNTRY,Good,CCC,CIVIL: SERVICES MISCELLANEOUS,CORPORATE,0
RUSTON DIESELS LTD,00301803,0010X0000536FmyQAE,COMPANY,Good,NOT KNOWN,CIVIL: POWER MISCELLANEOUS,CORPORATE,0
S E B,00310342,001b000000UluHRAAZ,BANK,Good,NOT KNOWN,BANK,CORPORATE,0
SABRE COMPUTERS INTERNATIONAL LTD,00306603,001b000000UllfKAAR,COMPANY,Good,B+,DEFENCE: CATEGORY B MISCELLANEOUS,CORPORATE,0
SANTANDER - SPAIN,00320936,0016700005Br9ItAAJ,BANK,Good,N/A,"GUIDED WEAPONS, MISSILES, LAUNCHERS AND PARTS",CORPORATE,0
SBC (UGANDA) LIMITED,00307064,0010X00004uuoPbQAI,COMPANY,Good,N/A,AIRPORTS,CORPORATE,0
