Name 1,URN,Salesforce ID,Customer Type,Customer Watch Status,UK Entity?,SME,Officer Risk Rating,Primary Industry Classification,Country,Rating Entity,Assigned Rating/ECGD Status,Loss Given Default
INTERSERVE RAIL LIMITED,00302231,0010X000054TZ6CQAW,100,0,CITIZENCLASS#1,20,98,Citizenship Class,GBR,150,03,0
INTESA SANPAOLO S.P.A DUBAI BRANCH,00325421,0014K00000cVSC2QAO,100,0,CITIZENCLASS#2,20,99,Citizenship Class,ARE,150,03,0
ISHIDA EUROPE LIMITED,00308927,001b000000akfnfAAA,100,0,CITIZENCLASS#1,20,11,Citizenship Class,GBR,150,03,0
JGC CORPORATION UK LIMITED,00306557,0014K00000a7IAmQAM,100,0,CITIZENCLASS#3,20,99,Citizenship Class,GBR,150,03,0
JMC RECYCLING SYSTEMS LIMITED,00310719,001b000000ahrAJAAY,100,0,CITIZENCLASS#1,60,99,Citizenship Class,GBR,150,03,0
JOY GLOBAL INDUSTRIES LIMITED,00304549,0010X00004aVPjoQAG,100,0,CITIZENCLASS#1,20,98,Citizenship Class,GBR,150,03,0
JP MORGAN CHASE BANK N.A.,00327396,0014K00000npltkQAA,900,0,CITIZENCLASS#2,20,99,Citizenship Class,SGP,150,03,0
JP MORGAN CHASE BANK N.A. TOKYO BRANCH,00327402,0014K00000nplsrQAA,900,0,CITIZENCLASS#2,20,99,Citizenship Class,JPN,150,03,0
JUST RETIREMENT LIMITED,00320961,0016700005Bs3jPAAR,100,0,CITIZENCLASS#1,20,99,Citizenship Class,GBR,150,03,0
KOMMUNALKREDIT AUSTRIA AG,00324835,0014K00000aQ4FOQA0,900,0,CITIZENCLASS#2,20,99,Citizenship Class,AUT,150,03,0
KOREA AEROSPACE INDUSTRIES LTD,00319140,0010X00004y8gayQAA,100,0,CITIZENCLASS#2,20,99,Citizenship Class,KOR,150,03,0
KUWAIT PETROLEUM CORPORATION AND SUBSIDIARIES (KPC),00307709,001b000002Xcb9CAAR,100,0,CITIZENCLASS#2,20,05,Citizenship Class,KWT,150,03,35
LBBW,00315441,0010X00004EqzOfQAJ,900,0,CITIZENCLASS#2,20,99,Citizenship Class,DEU,150,03,0
LEARJET INC,00319544,0010X0000538q3EQAQ,100,0,CITIZENCLASS#2,20,14,Citizenship Class,USA,150,03,0
LLC CENTRAL PLAINS GROUP,00322053,0014K00000NF3ypQAD,100,1,CITIZENCLASS#2,20,18,Citizenship Class,UKR,150,03,0
LLC STRONG ENERGY ZAKHID,00323362,0014K00000TLFzkQAH,100,1,CITIZENCLASS#2,20,21,Citizenship Class,UKR,150,03,61
LLOYDS SYNDICATE 0318 CINCINNATI GLOBAL UNDERWRITING AGENCY LTD,00327049,0014K00000eK7xHQAS,100,0,CITIZENCLASS#1,20,04,Citizenship Class,GBR,150,03,35
LLOYDS SYNDICATE 2001 MS AMLIN,00315334,0010X00004DhtK3QAJ,100,0,CITIZENCLASS#1,20,04,Citizenship Class,GBR,150,03,50
LLOYDS SYNDICATE 3010 LANCASHIRE SYNDICATES LTD,00327041,0014K00000eK8g3QAC,100,0,CITIZENCLASS#1,20,04,Citizenship Class,GBR,150,03,35
