Name 1,URN,Salesforce ID,Customer Type,Customer Watch Status,Credit Risk Rating,Primary Industry Classification,Assigned Rating/ECGD Status,Loss Given Default
BRUSH ELECTRICAL MACHINES LIMITED,00304572,001b000000hp2T3AAI,COMPANY,Good,NOT KNOWN,PRIMIND#00004405,CORPORATE,0
C2S MEDIA LTD,00320296,00167000058EXmYAAW,COMPANY,Good,B+,PRIMIND#00288898,CORPORATE,0
CAMBRIDGE UNIVERSITY PRESS,00300839,001b000000jvWPDAA2,COMPANY,Good,N/A,PRIMIND#00288296,CORPORATE,0
CDE GLOBAL LIMITED,00307521,001b000000P5BB9AAN,COMPANY,Good,B+,PRIMIND#00284575,CORPORATE,0
CENTRAL PLAINS GROUP LTD,00321068,0016700005CaIN0AAN,COMPANY,Good,CCC,PRIMIND#00288152,CORPORATE,61
CITIBANK NA,00320087,00167000055uwXjAAI,BANK,Good,N/A,PRIMIND#00295195,CORPORATE,0
COMPAGNIE FRANCAISE D'ASSURANCE POUR LE COMMERCE EXTERIEUR (COFACE),00308411,001b000000Hy6nIAAR,COMPANY,Good,A,PRIMIND#00294859,CORPORATE,35
COSMOS INTERNATIONAL LTD,00320043,00167000055u4hFAAQ,COMPANY,Good,N/A,PRIMIND#00294443,SOVEREIGN,0
CREDIT AGRICOLE BANK,00321752,0014K00000MMcwRQAT,BANK,Good,N/A,PRIMIND#00288143,CORPORATE,0
CREDIT AGRICOLE CORPORATE AND INVES TMENT BANK,00308555,001b000000WpmRyAAJ,BANK,Good,N/A,PRIMIND#00293205,CORPORATE,0
CREDIT SUISSE AG,00300747,001b000003OvJ9cAAF,BANK,Good,N/A,PRIMIND#00288844,CORPORATE,0
DAVIS DERBY LIMITED,00313957,001b000000ULQ7bAAH,COMPANY,Good,NOT KNOWN,PRIMIND#00003025,CORPORATE,0
DEFENCE EQUIPMENT SALES AUTHORITY,00326361,0014K00000gDObRQAW,COMPANY,Good,N/A,PRIMIND#00295098,CORPORATE,0
DELCA SYSTEMS LTD,00319755,0010X000054SC7pQAG,COMPANY,Good,N/A,PRIMIND#00294437,SOVEREIGN,0
DEUTSCHE BANK SAEU,00326194,0014K00000fHLALQA4,BANK,Good,N/A,PRIMIND#00294841,CORPORATE,0
DIVERSEY LIMITED,00311760,0010X0000536FnNQAU,COMPANY,Good,NOT KNOWN,PRIMIND#00002977,CORPORATE,0
DOF INSTALLER ASA,00326668,0014K00000k6GbUQAU,COMPANY,Good,D,PRIMIND#00294514,CORPORATE,0
DOF SUBSEA AS,00326664,0014K00000k6G67QAE,COMPANY,Watch,D,PRIMIND#00227297,CORPORATE,50
DOGUS CELIKLER OZKAR IS ORTAKLIGI TICARI ISLETMESI,00327742,0014K00000nJqbxQAC,COMPANY,Good,N/A,PRIMIND#00294039,CORPORATE,0
DOGUS INSAAT VE TICARET A.S,00326292,0014K00000bOoRKQA0,COMPANY,Good,N/A,PRIMIND#00293966,CORPORATE,0
DUBAI HOLDING COMMERCIAL OPERATIONS GROUP LLC,00317208,0010X00004PwsgRQAR,COMPANY,Good,BBB-,PRIMIND#00278327,CORPORATE,50
DUNLOP OIL & MARINE LIMITED,00312741,001b000000j9XAfAAM,COMPANY,Good,NOT KNOWN,PRIMIND#00000515,CORPORATE,0
EDBRO PLC.,00301853,001b000000jvWThAAM,COMPANY,Good,NOT KNOWN,PRIMIND#00000873,CORPORATE,0
EUROPA CROWN LIMITED,00311412,001b000000TA4kZAAT,COMPANY,Good,NOT KNOWN,PRIMIND#00004248,CORPORATE,0
EUROPEAN SAO LIMITED,00327021,0014K00000mMz0cQAC,COMPANY,Good,B,PRIMIND#00293748,CORPORATE,0
FIVES LANDIS LIMITED,00310184,001b000003MDvXIAA1,COMPANY,Good,N/A,PRIMIND#00208328,CORPORATE,0
FOSTER + PARTNERS LIMITED,00306962,001b000000aji4uAAA,COMPANY,Good,N/A,PRIMIND#00250206,CORPORATE,0
FOSUN INTERNATIONAL LIMITED,00322555,0014K00000QslRjQAJ,COMPANY,Good,B+,PRIMIND#00290297,CORPORATE,60
"FRANCE, MINISTRY OF ECONOMY AND FIN",00322407,0014K00000Pd3buQAB,COMPANY,Good,N/A,PRIMIND#00291691,SOVEREIGN,0
GEMLIK GUBRE SANAYI A.S,00320168,00167000056jEd1AAE,COMPANY,Good,B-,PRIMIND#00289991,CORPORATE,0
GENERAL SYSTEMS DESIGN UK LTD,00304438,001b000003ThJJgAAN,COMPANY,Good,N/A,PRIMIND#00259098,CORPORATE,0
GLOBAL ATTRACTIONS LTD,00319442,0010X00005365PfQAI,COMPANY,Good,N/A,PRIMIND#00284334,CORPORATE,0
HAVANA INTERNATIONAL BANK LTD,00300735,001b000000RvOfHAAV,BANK,Good,NOT KNOWN,PRIMIND#00000468,CORPORATE,0
HOLDTRADE MINING LIMITED,00306377,0010X0000536FmjQAE,COMPANY,Good,NOT KNOWN,PRIMIND#00003028,CORPORATE,0
HR WALLINGFORD LIMITED,00313703,001b000000jvWZKAA2,COMPANY,Good,N/A,PRIMIND#00279024,CORPORATE,0
HSBC,00323351,0014K00000TKZIXQA5,BANK,Good,BB,PRIMIND#00290852,CORPORATE,0
INDUSTRIAL TURBINE COMPANY (UK) LTD,00305412,001b000002JUWUXAA5,COMPANY,Good,N/A,PRIMIND#00259082,CORPORATE,0
INLAKS (UK) LIMITED,00300114,0010X000054TZ8qQAG,COMPANY,Good,NOT KNOWN,PRIMIND#00002594,CORPORATE,0
INTERPOWER INDUCTION LTD,00309549,001b000000dwvBtAAI,COMPANY,Good,B+,PRIMIND#00229922,CORPORATE,0
INTERSERVE RAIL LIMITED,00302231,0010X000054TZ6CQAW,COMPANY,Good,NOT KNOWN,PRIMIND#00004354,CORPORATE,0
INTESA SANPAOLO S.P.A DUBAI BRANCH,00325421,0014K00000cVSC2QAO,COMPANY,Good,N/A,PRIMIND#00290079,CORPORATE,0
ISHIDA EUROPE LIMITED,00308927,001b000000akfnfAAA,COMPANY,Good,BB+,PRIMIND#00273647,CORPORATE,0
JGC CORPORATION UK LIMITED,00306557,0014K00000a7IAmQAM,COMPANY,Good,N/A,PRIMIND#00235885,CORPORATE,0
JMC RECYCLING SYSTEMS LIMITED,00310719,001b000000ahrAJAAY,COMPANY,Good,N/A,PRIMIND#00244673,CORPORATE,0
JOY GLOBAL INDUSTRIES LIMITED,00304549,0010X00004aVPjoQAG,COMPANY,Good,NOT KNOWN,PRIMIND#00004386,CORPORATE,0
JP MORGAN CHASE BANK N.A.,00327396,0014K00000npltkQAA,BANK,Good,N/A,PRIMIND#00293357,CORPORATE,0
JP MORGAN CHASE BANK N.A. TOKYO BRANCH,00327402,0014K00000nplsrQAA,BANK,Good,N/A,PRIMIND#00293363,CORPORATE,0
JUST RETIREMENT LIMITED,00320961,0016700005Bs3jPAAR,COMPANY,Good,N/A,PRIMIND#00288805,CORPORATE,0
KEB HANA BANK,00329089,001Tm000007teAVIAY,BANK,Good,N/A,PRIMIND#00296365,CORPORATE,0
KOMMUNALKREDIT AUSTRIA AG,00324835,0014K00000aQ4FOQA0,BANK,Good,N/A,PRIMIND#00294385,CORPORATE,0
KOREA AEROSPACE INDUSTRIES LTD,00319140,0010X00004y8gayQAA,COMPANY,Good,N/A,PRIMIND#00295939,CORPORATE,0
KUWAIT PETROLEUM CORPORATION AND SUBSIDIARIES (KPC),00307709,001b000002Xcb9CAAR,COMPANY,Good,A+,PRIMIND#00271089,CORPORATE,35
LBBW,00315441,0010X00004EqzOfQAJ,BANK,Good,N/A,PRIMIND#00292174,CORPORATE,0
LEARJET INC,00319544,0010X0000538q3EQAQ,COMPANY,Good,B+,PRIMIND#00284447,CORPORATE,0
LLC CENTRAL PLAINS GROUP,00322053,0014K00000NF3ypQAD,COMPANY,Watch,CCC,PRIMIND#00288168,CORPORATE,0
LLC STRONG ENERGY ZAKHID,00323362,0014K00000TLFzkQAH,COMPANY,Watch,CC,PRIMIND#00288175,CORPORATE,61
LLOYDS SYNDICATE 0318 CINCINNATI GLOBAL UNDERWRITING AGENCY LTD,00327049,0014K00000eK7xHQAS,COMPANY,Good,AA-,PRIMIND#00294918,CORPORATE,35
LLOYDS SYNDICATE 2001 MS AMLIN,00315334,0010X00004DhtK3QAJ,COMPANY,Good,AA-,PRIMIND#00270916,CORPORATE,50
LLOYDS SYNDICATE 3010 LANCASHIRE SYNDICATES LTD,00327041,0014K00000eK8g3QAC,COMPANY,Good,AA-,PRIMIND#00294925,CORPORATE,35
MARITIME DEVELOPMENT LTD,00317363,0010X00004SuHKCQA3,COMPANY,Good,N/A,PRIMIND#00295368,CORPORATE,0
MARLBOROUGH COMMUNICATIONS LIMITED,00306580,001b000000jvWe7AAE,COMPANY,Good,NOT KNOWN,PRIMIND#00001401,CORPORATE,0
MODERN KARTON,00327505,0014K00000fGaC1QAK,COMPANY,Good,B,PRIMIND#00295414,CORPORATE,0
NATIONAL AUTHORITY FOR TUNNELS,00318621,0010X00004sWjn0QAC,COMPANY,Good,N/A,PRIMIND#00284665,CORPORATE,0
NATIONAL BANK OF KUWAIT (INTERNATIONAL) PLC,00309684,001b000000LJKFzAAP,BANK,Good,A,PRIMIND#00000540,CORPORATE,0
NAVAL GROUP,00323830,0014K00000VEJELQA5,COMPANY,Good,AA,PRIMIND#00291706,SOVEREIGN,0
NEDBANK LIMITED,00308701,001b000003zGRyaAAG,BANK,Good,NOT KNOWN,PRIMIND#00002538,CORPORATE,0
NEXUS GREEN LIMITED,00306046,001b000003esdNyAAI,COMPANY,Good,B,PRIMIND#00285558,CORPORATE,0
NISSAN MOTOR COMPANY LIMITED,00319902,00167000055qvlKAAQ,COMPANY,Good,BB+,PRIMIND#00284671,CORPORATE,40
NISSAN MOTOR MANUFACTURING (UK) LIMITED,00308810,001b000000jvWgdAAE,COMPANY,Good,BBB-,PRIMIND#00284633,CORPORATE,50
NORDIC TRUSTEE AS,00326693,0014K00000k6Nj9QAE,BANK,Good,D,PRIMIND#00294504,CORPORATE,0
OCYAN OIL SERVICES LTD,00326183,0014K00000fGv48QAC,COMPANY,Good,N/A,PRIMIND#00295375,CORPORATE,0
OMEGA FOUNDRY MACHINERY LTD,00311023,001b000000Hy76DAAR,COMPANY,Good,B+,PRIMIND#00004121,CORPORATE,0
ONUR TAAHHUT TASIMACILIK INSAAT TICARET VE SANAYI ANONIM SIRKETI,00325757,0014K00000dVplEQAS,COMPANY,Good,N/A,PRIMIND#00294015,CORPORATE,0
PETROFAC SERVICES LIMITED,00313236,001b000000jvWifAAE,COMPANY,Good,N/A,PRIMIND#00232162,CORPORATE,0
POWERX EQUIPMENT LIMITED,00322145,0014K00000NHo0qQAD,COMPANY,Good,N/A,PRIMIND#00288016,CORPORATE,0
PRESTIGE DIAGNOSTICS UK,00321814,0014K00000MOtPWQA1,COMPANY,Good,N/A,PRIMIND#00287967,CORPORATE,0
PT DAGANG SAMUDERA HUTAMA,00320819,0016700005BosVOAAZ,COMPANY,Good,BB,PRIMIND#00286278,CORPORATE,0
QUALTER HALL & COMPANY LIMITED,00301463,001b000003XoFL0AAN,COMPANY,Good,NOT KNOWN,PRIMIND#00004080,CORPORATE,0
REASSURE LTD,00321242,0016700005DWvOTAA1,COMPANY,Good,N/A,PRIMIND#00288829,CORPORATE,0
ROUGHTON INTERNATIONAL LIMITED,00310205,001b000000Hy7plAAB,COUNTRY,Good,CCC,PRIMIND#00239326,CORPORATE,0
RUSTON DIESELS LTD,00301803,0010X0000536FmyQAE,COMPANY,Good,NOT KNOWN,PRIMIND#00004029,CORPORATE,0
S E B,00310342,001b000000UluHRAAZ,BANK,Good,NOT KNOWN,PRIMIND#00000353,CORPORATE,0
SABRE COMPUTERS INTERNATIONAL LTD,00306603,001b000000UllfKAAR,COMPANY,Good,B+,PRIMIND#00253402,CORPORATE,0
SANTANDER - SPAIN,00320936,0016700005Br9ItAAJ,BANK,Good,N/A,PRIMIND#00293912,CORPORATE,0
SBC (UGANDA) LIMITED,00307064,0010X00004uuoPbQAI,COMPANY,Good,N/A,PRIMIND#00264904,CORPORATE,0
